<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-9.20;1;21/08/20;10:01:00;74005.0000000;74046.0000000;73874.0000000;73886.0000000;26350
SPFB.Si-9.20;1;21/08/20;10:02:00;73880.0000000;73957.0000000;73837.0000000;73917.0000000;20866
SPFB.Si-9.20;1;21/08/20;10:03:00;73917.0000000;73955.0000000;73902.0000000;73949.0000000;8658
SPFB.Si-9.20;1;21/08/20;10:04:00;73946.0000000;73983.0000000;73942.0000000;73981.0000000;8660
SPFB.Si-9.20;1;21/08/20;10:05:00;73978.0000000;74064.0000000;73970.0000000;74037.0000000;17867
SPFB.Si-9.20;1;21/08/20;10:06:00;74034.0000000;74074.0000000;73978.0000000;73995.0000000;17002
SPFB.Si-9.20;1;21/08/20;10:07:00;73996.0000000;74025.0000000;73981.0000000;74014.0000000;10428
SPFB.Si-9.20;1;21/08/20;10:08:00;74019.0000000;74031.0000000;74008.0000000;74028.0000000;7349
SPFB.Si-9.20;1;21/08/20;10:09:00;74023.0000000;74025.0000000;74007.0000000;74020.0000000;5310
SPFB.Si-9.20;1;21/08/20;10:10:00;74020.0000000;74063.0000000;74014.0000000;74051.0000000;9731
SPFB.Si-9.20;1;21/08/20;10:11:00;74048.0000000;74147.0000000;74045.0000000;74144.0000000;19858
SPFB.Si-9.20;1;21/08/20;10:12:00;74143.0000000;74172.0000000;74091.0000000;74108.0000000;18687
SPFB.Si-9.20;1;21/08/20;10:13:00;74110.0000000;74127.0000000;74083.0000000;74098.0000000;7092
SPFB.Si-9.20;1;21/08/20;10:14:00;74095.0000000;74132.0000000;74094.0000000;74119.0000000;3483
SPFB.Si-9.20;1;21/08/20;10:15:00;74119.0000000;74149.0000000;74114.0000000;74149.0000000;5351
SPFB.Si-9.20;1;21/08/20;10:16:00;74150.0000000;74223.0000000;74150.0000000;74184.0000000;20249
SPFB.Si-9.20;1;21/08/20;10:17:00;74188.0000000;74201.0000000;74152.0000000;74178.0000000;9621
SPFB.Si-9.20;1;21/08/20;10:18:00;74180.0000000;74215.0000000;74163.0000000;74171.0000000;6862
SPFB.Si-9.20;1;21/08/20;10:19:00;74169.0000000;74210.0000000;74169.0000000;74193.0000000;6440
SPFB.Si-9.20;1;21/08/20;10:20:00;74188.0000000;74240.0000000;74178.0000000;74227.0000000;8136
SPFB.Si-9.20;1;21/08/20;10:21:00;74230.0000000;74264.0000000;74208.0000000;74261.0000000;11032
SPFB.Si-9.20;1;21/08/20;10:22:00;74261.0000000;74270.0000000;74228.0000000;74235.0000000;10682
SPFB.Si-9.20;1;21/08/20;10:23:00;74230.0000000;74239.0000000;74213.0000000;74213.0000000;5729
SPFB.Si-9.20;1;21/08/20;10:24:00;74213.0000000;74256.0000000;74212.0000000;74213.0000000;7144
SPFB.Si-9.20;1;21/08/20;10:25:00;74215.0000000;74232.0000000;74187.0000000;74229.0000000;16572
SPFB.Si-9.20;1;21/08/20;10:26:00;74228.0000000;74242.0000000;74200.0000000;74200.0000000;6309
