<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-12.19;60;19/09/19;11:00:00;64976.0000000;65100.0000000;64897.0000000;64961.0000000;272959
SPFB.Si-12.19;60;19/09/19;12:00:00;64962.0000000;64987.0000000;64920.0000000;64978.0000000;136241
SPFB.Si-12.19;60;19/09/19;13:00:00;64977.0000000;64995.0000000;64871.0000000;64908.0000000;144374
SPFB.Si-12.19;60;19/09/19;14:00:00;64908.0000000;64935.0000000;64793.0000000;64859.0000000;214918
SPFB.Si-12.19;60;19/09/19;15:00:00;64861.0000000;64890.0000000;64651.0000000;64673.0000000;137559
SPFB.Si-12.19;60;19/09/19;16:00:00;64674.0000000;64695.0000000;64551.0000000;64590.0000000;173585
SPFB.Si-12.19;60;19/09/19;17:00:00;64591.0000000;64665.0000000;64570.0000000;64650.0000000;96648
SPFB.Si-12.19;60;19/09/19;18:00:00;64651.0000000;64719.0000000;64589.0000000;64624.0000000;127868
SPFB.Si-12.19;60;19/09/19;19:00:00;64625.0000000;64651.0000000;64568.0000000;64651.0000000;67022
SPFB.Si-12.19;60;19/09/19;20:00:00;64641.0000000;64680.0000000;64614.0000000;64628.0000000;30784
SPFB.Si-12.19;60;19/09/19;21:00:00;64630.0000000;64694.0000000;64625.0000000;64650.0000000;22271
SPFB.Si-12.19;60;19/09/19;22:00:00;64651.0000000;64705.0000000;64648.0000000;64695.0000000;17817
SPFB.Si-12.19;60;19/09/19;23:00:00;64695.0000000;64812.0000000;64689.0000000;64771.0000000;57794
SPFB.Si-12.19;60;20/09/19;00:00:00;64774.0000000;64787.0000000;64711.0000000;64765.0000000;21895
SPFB.Si-12.19;60;20/09/19;11:00:00;64730.0000000;64730.0000000;64530.0000000;64546.0000000;182980
SPFB.Si-12.19;60;20/09/19;12:00:00;64545.0000000;64620.0000000;64542.0000000;64576.0000000;101532
SPFB.Si-12.19;60;20/09/19;13:00:00;64577.0000000;64593.0000000;64460.0000000;64504.0000000;122297
SPFB.Si-12.19;60;20/09/19;14:00:00;64502.0000000;64542.0000000;64424.0000000;64539.0000000;92335
SPFB.Si-12.19;60;20/09/19;15:00:00;64539.0000000;64624.0000000;64500.0000000;64607.0000000;68497
SPFB.Si-12.19;60;20/09/19;16:00:00;64604.0000000;64666.0000000;64553.0000000;64662.0000000;105912
SPFB.Si-12.19;60;20/09/19;17:00:00;64662.0000000;64771.0000000;64658.0000000;64712.0000000;172183
SPFB.Si-12.19;60;20/09/19;18:00:00;64710.0000000;64759.0000000;64675.0000000;64697.0000000;135136
SPFB.Si-12.19;60;20/09/19;19:00:00;64699.0000000;64744.0000000;64645.0000000;64734.0000000;64980
