<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-9.20;60;22/06/20;11:00:00;70170.0000000;70322.0000000;70125.0000000;70170.0000000;288909
SPFB.Si-9.20;60;22/06/20;12:00:00;70170.0000000;70187.0000000;70080.0000000;70082.0000000;136452
SPFB.Si-9.20;60;22/06/20;13:00:00;70083.0000000;70149.0000000;69973.0000000;70074.0000000;166892
SPFB.Si-9.20;60;22/06/20;14:00:00;70074.0000000;70200.0000000;70020.0000000;70177.0000000;111718
SPFB.Si-9.20;60;22/06/20;15:00:00;70177.0000000;70258.0000000;70150.0000000;70160.0000000;108565
SPFB.Si-9.20;60;22/06/20;16:00:00;70160.0000000;70239.0000000;70063.0000000;70099.0000000;125941
SPFB.Si-9.20;60;22/06/20;17:00:00;70099.0000000;70102.0000000;69832.0000000;69902.0000000;309512
SPFB.Si-9.20;60;22/06/20;18:00:00;69898.0000000;70007.0000000;69795.0000000;69986.0000000;243013
SPFB.Si-9.20;60;22/06/20;19:00:00;69985.0000000;70066.0000000;69927.0000000;70002.0000000;115037
SPFB.Si-9.20;60;22/06/20;20:00:00;69968.0000000;69968.0000000;69657.0000000;69696.0000000;125389
SPFB.Si-9.20;60;22/06/20;21:00:00;69699.0000000;69807.0000000;69632.0000000;69675.0000000;114204
SPFB.Si-9.20;60;22/06/20;22:00:00;69673.0000000;69820.0000000;69672.0000000;69751.0000000;56888
SPFB.Si-9.20;60;22/06/20;23:00:00;69751.0000000;69834.0000000;69700.0000000;69810.0000000;36058
SPFB.Si-9.20;60;23/06/20;00:00:00;69810.0000000;69823.0000000;69688.0000000;69726.0000000;23687
SPFB.Si-9.20;60;23/06/20;11:00:00;69700.0000000;69748.0000000;69382.0000000;69404.0000000;273172
SPFB.Si-9.20;60;23/06/20;12:00:00;69400.0000000;69490.0000000;69377.0000000;69443.0000000;136811
SPFB.Si-9.20;60;23/06/20;13:00:00;69446.0000000;69474.0000000;69360.0000000;69460.0000000;134708
SPFB.Si-9.20;60;23/06/20;14:00:00;69459.0000000;69519.0000000;69402.0000000;69477.0000000;89604
SPFB.Si-9.20;60;23/06/20;15:00:00;69477.0000000;69523.0000000;69332.0000000;69426.0000000;97832
