<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-6.20;60;19/03/20;11:00:00;82045.0000000;83222.0000000;80700.0000000;81095.0000000;592505
SPFB.Si-6.20;60;19/03/20;12:00:00;81088.0000000;81189.0000000;80510.0000000;80782.0000000;347792
SPFB.Si-6.20;60;19/03/20;13:00:00;80782.0000000;81275.0000000;80500.0000000;81242.0000000;286038
SPFB.Si-6.20;60;19/03/20;14:00:00;81250.0000000;81809.0000000;81205.0000000;81603.0000000;273159
SPFB.Si-6.20;60;19/03/20;15:00:00;81586.0000000;82570.0000000;81475.0000000;82050.0000000;306281
SPFB.Si-6.20;60;19/03/20;16:00:00;82050.0000000;82666.0000000;81813.0000000;82074.0000000;231320
SPFB.Si-6.20;60;19/03/20;17:00:00;82087.0000000;82243.0000000;81309.0000000;81998.0000000;326956
SPFB.Si-6.20;60;19/03/20;18:00:00;81995.0000000;82112.0000000;81316.0000000;81594.0000000;264273
SPFB.Si-6.20;60;19/03/20;19:00:00;81582.0000000;81621.0000000;80382.0000000;80812.0000000;286822
SPFB.Si-6.20;60;19/03/20;20:00:00;80830.0000000;81324.0000000;80814.0000000;81007.0000000;221197
SPFB.Si-6.20;60;19/03/20;21:00:00;81001.0000000;81167.0000000;80448.0000000;80578.0000000;188395
SPFB.Si-6.20;60;19/03/20;22:00:00;80577.0000000;80664.0000000;79720.0000000;80032.0000000;168002
SPFB.Si-6.20;60;19/03/20;23:00:00;80028.0000000;80535.0000000;79986.0000000;80287.0000000;78729
SPFB.Si-6.20;60;20/03/20;00:00:00;80293.0000000;80450.0000000;80230.0000000;80446.0000000;32653
SPFB.Si-6.20;60;20/03/20;11:00:00;80397.0000000;80397.0000000;79078.0000000;79132.0000000;527760
SPFB.Si-6.20;60;20/03/20;12:00:00;79135.0000000;79263.0000000;78500.0000000;78853.0000000;453460
SPFB.Si-6.20;60;20/03/20;13:00:00;78853.0000000;79135.0000000;78599.0000000;78885.0000000;243769
SPFB.Si-6.20;60;20/03/20;14:00:00;78885.0000000;80440.0000000;78863.0000000;79933.0000000;513971
SPFB.Si-6.20;60;20/03/20;15:00:00;79930.0000000;80758.0000000;79930.0000000;80346.0000000;375791
SPFB.Si-6.20;60;20/03/20;16:00:00;80345.0000000;80947.0000000;80043.0000000;80921.0000000;374711
SPFB.Si-6.20;60;20/03/20;17:00:00;80921.0000000;81083.0000000;80405.0000000;80969.0000000;397238
SPFB.Si-6.20;60;20/03/20;18:00:00;80990.0000000;81008.0000000;79560.0000000;80032.0000000;438693
SPFB.Si-6.20;60;20/03/20;19:00:00;80031.0000000;80763.0000000;79935.0000000;80602.0000000;238748
SPFB.Si-6.20;60;20/03/20;20:00:00;80627.0000000;80958.0000000;80261.0000000;80755.0000000;194193
