<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-9.20;5;15/06/20;10:05:00;71000.0000000;71877.0000000;71000.0000000;71211.0000000;17749
SPFB.Si-9.20;5;15/06/20;10:10:00;71212.0000000;71325.0000000;71181.0000000;71313.0000000;5941
SPFB.Si-9.20;5;15/06/20;10:15:00;71321.0000000;71352.0000000;71233.0000000;71265.0000000;7812
SPFB.Si-9.20;5;15/06/20;10:20:00;71278.0000000;71282.0000000;71165.0000000;71174.0000000;12070
SPFB.Si-9.20;5;15/06/20;10:25:00;71174.0000000;71187.0000000;71135.0000000;71138.0000000;24256
SPFB.Si-9.20;5;15/06/20;10:30:00;71139.0000000;71199.0000000;71137.0000000;71162.0000000;2567
SPFB.Si-9.20;5;15/06/20;10:35:00;71160.0000000;71210.0000000;71146.0000000;71197.0000000;3746
SPFB.Si-9.20;5;15/06/20;10:40:00;71197.0000000;71199.0000000;71179.0000000;71199.0000000;3759
SPFB.Si-9.20;5;15/06/20;10:45:00;71199.0000000;71224.0000000;71175.0000000;71194.0000000;11885
SPFB.Si-9.20;5;15/06/20;10:50:00;71188.0000000;71234.0000000;71176.0000000;71216.0000000;3032
SPFB.Si-9.20;5;15/06/20;10:55:00;71222.0000000;71236.0000000;71192.0000000;71198.0000000;1313
SPFB.Si-9.20;5;15/06/20;11:00:00;71194.0000000;71239.0000000;71180.0000000;71228.0000000;1561
SPFB.Si-9.20;5;15/06/20;11:05:00;71227.0000000;71231.0000000;71151.0000000;71169.0000000;2660
SPFB.Si-9.20;5;15/06/20;11:10:00;71162.0000000;71162.0000000;71081.0000000;71125.0000000;11462
SPFB.Si-9.20;5;15/06/20;11:15:00;71123.0000000;71153.0000000;71106.0000000;71118.0000000;1978
SPFB.Si-9.20;5;15/06/20;11:20:00;71112.0000000;71119.0000000;71009.0000000;71036.0000000;6420
SPFB.Si-9.20;5;15/06/20;11:25:00;71031.0000000;71080.0000000;71022.0000000;71050.0000000;3944
SPFB.Si-9.20;5;15/06/20;11:30:00;71046.0000000;71062.0000000;70912.0000000;70967.0000000;3844
SPFB.Si-9.20;5;15/06/20;11:35:00;70964.0000000;71007.0000000;70906.0000000;70918.0000000;3269
SPFB.Si-9.20;5;15/06/20;11:40:00;70912.0000000;70985.0000000;70888.0000000;70985.0000000;2961
SPFB.Si-9.20;5;15/06/20;11:45:00;70984.0000000;71012.0000000;70930.0000000;70956.0000000;1724
SPFB.Si-9.20;5;15/06/20;11:50:00;70949.0000000;71006.0000000;70949.0000000;70984.0000000;1636
SPFB.Si-9.20;5;15/06/20;11:55:00;70982.0000000;71013.0000000;70977.0000000;70983.0000000;2028
SPFB.Si-9.20;5;15/06/20;12:00:00;70979.0000000;70999.0000000;70950.0000000;70977.0000000;849
SPFB.Si-9.20;5;15/06/20;12:05:00;70972.0000000;71071.0000000;70971.0000000;71062.0000000;2426
SPFB.Si-9.20;5;15/06/20;12:10:00;71059.0000000;71100.0000000;71045.0000000;71099.0000000;3278
SPFB.Si-9.20;5;15/06/20;12:15:00;71100.0000000;71122.0000000;71072.0000000;71122.0000000;4943
SPFB.Si-9.20;5;15/06/20;12:20:00;71112.0000000;71186.0000000;71108.0000000;71143.0000000;2345
SPFB.Si-9.20;5;15/06/20;12:25:00;71148.0000000;71170.0000000;71130.0000000;71158.0000000;4866
SPFB.Si-9.20;5;15/06/20;12:30:00;71160.0000000;71202.0000000;71140.0000000;71183.0000000;2129
SPFB.Si-9.20;5;15/06/20;12:35:00;71184.0000000;71279.0000000;71170.0000000;71238.0000000;2499
SPFB.Si-9.20;5;15/06/20;12:40:00;71236.0000000;71252.0000000;71171.0000000;71177.0000000;2805
SPFB.Si-9.20;5;15/06/20;12:45:00;71186.0000000;71200.0000000;71158.0000000;71194.0000000;2460
SPFB.Si-9.20;5;15/06/20;12:50:00;71200.0000000;71219.0000000;71152.0000000;71161.0000000;2920
SPFB.Si-9.20;5;15/06/20;12:55:00;71158.0000000;71161.0000000;71092.0000000;71100.0000000;3517
SPFB.Si-9.20;5;15/06/20;13:00:00;71100.0000000;71120.0000000;71084.0000000;71100.0000000;3733
SPFB.Si-9.20;5;15/06/20;13:05:00;71097.0000000;71163.0000000;71095.0000000;71139.0000000;1129
SPFB.Si-9.20;5;15/06/20;13:10:00;71132.0000000;71162.0000000;71112.0000000;71144.0000000;2636
SPFB.Si-9.20;5;15/06/20;13:15:00;71142.0000000;71142.0000000;71056.0000000;71073.0000000;2506
SPFB.Si-9.20;5;15/06/20;13:20:00;71068.0000000;71083.0000000;71022.0000000;71035.0000000;1378
SPFB.Si-9.20;5;15/06/20;13:25:00;71031.0000000;71059.0000000;71008.0000000;71037.0000000;978
SPFB.Si-9.20;5;15/06/20;13:30:00;71037.0000000;71090.0000000;71018.0000000;71089.0000000;1353
SPFB.Si-9.20;5;15/06/20;13:35:00;71081.0000000;71145.0000000;71056.0000000;71136.0000000;2073
SPFB.Si-9.20;5;15/06/20;13:40:00;71138.0000000;71147.0000000;71102.0000000;71127.0000000;1516
SPFB.Si-9.20;5;15/06/20;13:45:00;71129.0000000;71137.0000000;71078.0000000;71107.0000000;1825
SPFB.Si-9.20;5;15/06/20;13:50:00;71108.0000000;71160.0000000;71094.0000000;71160.0000000;975
SPFB.Si-9.20;5;15/06/20;13:55:00;71158.0000000;71169.0000000;71095.0000000;71102.0000000;1394
SPFB.Si-9.20;5;15/06/20;14:00:00;71102.0000000;71125.0000000;71054.0000000;71107.0000000;2870
SPFB.Si-9.20;5;15/06/20;14:10:00;71110.0000000;71118.0000000;71072.0000000;71112.0000000;1141
SPFB.Si-9.20;5;15/06/20;14:15:00;71101.0000000;71150.0000000;71101.0000000;71131.0000000;464
SPFB.Si-9.20;5;15/06/20;14:20:00;71133.0000000;71162.0000000;71128.0000000;71149.0000000;11041
SPFB.Si-9.20;5;15/06/20;14:25:00;71150.0000000;71163.0000000;71141.0000000;71143.0000000;25134
SPFB.Si-9.20;5;15/06/20;14:30:00;71141.0000000;71148.0000000;71079.0000000;71122.0000000;4971
SPFB.Si-9.20;5;15/06/20;14:35:00;71121.0000000;71131.0000000;71100.0000000;71107.0000000;3859
SPFB.Si-9.20;5;15/06/20;14:40:00;71106.0000000;71113.0000000;71052.0000000;71090.0000000;24960
SPFB.Si-9.20;5;15/06/20;14:45:00;71094.0000000;71100.0000000;71042.0000000;71049.0000000;2171
SPFB.Si-9.20;5;15/06/20;14:50:00;71054.0000000;71065.0000000;70940.0000000;70940.0000000;16071
