<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-3.20;5;06/01/20;10:05:00;62651.0000000;62959.0000000;62635.0000000;62829.0000000;114492
SPFB.Si-3.20;5;06/01/20;10:10:00;62829.0000000;62894.0000000;62786.0000000;62886.0000000;43303
SPFB.Si-3.20;5;06/01/20;10:15:00;62886.0000000;62887.0000000;62803.0000000;62818.0000000;21861
SPFB.Si-3.20;5;06/01/20;10:20:00;62820.0000000;62844.0000000;62762.0000000;62798.0000000;17543
SPFB.Si-3.20;5;06/01/20;10:25:00;62794.0000000;62812.0000000;62751.0000000;62753.0000000;11617
SPFB.Si-3.20;5;06/01/20;10:30:00;62754.0000000;62768.0000000;62724.0000000;62767.0000000;16712
SPFB.Si-3.20;5;06/01/20;10:35:00;62767.0000000;62790.0000000;62685.0000000;62704.0000000;21496
SPFB.Si-3.20;5;06/01/20;10:40:00;62702.0000000;62719.0000000;62660.0000000;62673.0000000;12238
SPFB.Si-3.20;5;06/01/20;10:45:00;62672.0000000;62683.0000000;62651.0000000;62666.0000000;9553
SPFB.Si-3.20;5;06/01/20;10:50:00;62668.0000000;62710.0000000;62657.0000000;62704.0000000;9796
SPFB.Si-3.20;5;06/01/20;10:55:00;62705.0000000;62737.0000000;62693.0000000;62700.0000000;8950
SPFB.Si-3.20;5;06/01/20;11:00:00;62702.0000000;62748.0000000;62690.0000000;62744.0000000;6481
SPFB.Si-3.20;5;06/01/20;11:05:00;62742.0000000;62749.0000000;62708.0000000;62712.0000000;8206
SPFB.Si-3.20;5;06/01/20;11:10:00;62715.0000000;62729.0000000;62690.0000000;62693.0000000;3351
SPFB.Si-3.20;5;06/01/20;11:15:00;62693.0000000;62726.0000000;62685.0000000;62718.0000000;5434
SPFB.Si-3.20;5;06/01/20;11:20:00;62716.0000000;62728.0000000;62700.0000000;62719.0000000;2692
SPFB.Si-3.20;5;06/01/20;11:25:00;62718.0000000;62722.0000000;62675.0000000;62686.0000000;6965
SPFB.Si-3.20;5;06/01/20;11:30:00;62686.0000000;62729.0000000;62676.0000000;62729.0000000;5978
SPFB.Si-3.20;5;06/01/20;11:35:00;62724.0000000;62766.0000000;62716.0000000;62754.0000000;8287
SPFB.Si-3.20;5;06/01/20;11:40:00;62755.0000000;62766.0000000;62730.0000000;62760.0000000;5928
SPFB.Si-3.20;5;06/01/20;11:45:00;62760.0000000;62778.0000000;62733.0000000;62736.0000000;8758
SPFB.Si-3.20;5;06/01/20;11:50:00;62739.0000000;62745.0000000;62723.0000000;62724.0000000;4418
SPFB.Si-3.20;5;06/01/20;11:55:00;62723.0000000;62761.0000000;62718.0000000;62761.0000000;5542
SPFB.Si-3.20;5;06/01/20;12:00:00;62762.0000000;62764.0000000;62728.0000000;62735.0000000;5519
SPFB.Si-3.20;5;06/01/20;12:05:00;62732.0000000;62735.0000000;62707.0000000;62707.0000000;4450
SPFB.Si-3.20;5;06/01/20;12:10:00;62708.0000000;62745.0000000;62707.0000000;62737.0000000;3956
