<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-3.21;1;16/02/21;10:00:00;73555.0000000;73555.0000000;73428.0000000;73458.0000000;25915
SPFB.Si-3.21;1;16/02/21;10:01:00;73455.0000000;73496.0000000;73447.0000000;73482.0000000;18825
SPFB.Si-3.21;1;16/02/21;10:02:00;73483.0000000;73490.0000000;73457.0000000;73479.0000000;7029
SPFB.Si-3.21;1;16/02/21;10:03:00;73475.0000000;73502.0000000;73475.0000000;73488.0000000;10075
SPFB.Si-3.21;1;16/02/21;10:04:00;73485.0000000;73500.0000000;73479.0000000;73480.0000000;6528
SPFB.Si-3.21;1;16/02/21;10:05:00;73479.0000000;73479.0000000;73416.0000000;73428.0000000;15994
SPFB.Si-3.21;1;16/02/21;10:06:00;73428.0000000;73429.0000000;73374.0000000;73404.0000000;25149
SPFB.Si-3.21;1;16/02/21;10:07:00;73404.0000000;73423.0000000;73392.0000000;73410.0000000;9230
SPFB.Si-3.21;1;16/02/21;10:08:00;73412.0000000;73446.0000000;73407.0000000;73437.0000000;5731
SPFB.Si-3.21;1;16/02/21;10:09:00;73436.0000000;73442.0000000;73416.0000000;73424.0000000;7324
SPFB.Si-3.21;1;16/02/21;10:10:00;73424.0000000;73436.0000000;73392.0000000;73408.0000000;8389
SPFB.Si-3.21;1;16/02/21;10:11:00;73409.0000000;73420.0000000;73397.0000000;73411.0000000;4479
SPFB.Si-3.21;1;16/02/21;10:12:00;73414.0000000;73417.0000000;73382.0000000;73389.0000000;7437
SPFB.Si-3.21;1;16/02/21;10:13:00;73389.0000000;73408.0000000;73382.0000000;73408.0000000;3787
SPFB.Si-3.21;1;16/02/21;10:14:00;73408.0000000;73427.0000000;73382.0000000;73422.0000000;12096
SPFB.Si-3.21;1;16/02/21;10:15:00;73422.0000000;73422.0000000;73380.0000000;73397.0000000;8890
SPFB.Si-3.21;1;16/02/21;10:16:00;73397.0000000;73442.0000000;73394.0000000;73438.0000000;19041
SPFB.Si-3.21;1;16/02/21;10:17:00;73438.0000000;73442.0000000;73403.0000000;73415.0000000;6569
SPFB.Si-3.21;1;16/02/21;10:18:00;73415.0000000;73424.0000000;73405.0000000;73410.0000000;3922
SPFB.Si-3.21;1;16/02/21;10:19:00;73410.0000000;73466.0000000;73407.0000000;73457.0000000;14056
SPFB.Si-3.21;1;16/02/21;10:20:00;73456.0000000;73472.0000000;73444.0000000;73462.0000000;6927
SPFB.Si-3.21;1;16/02/21;10:21:00;73462.0000000;73481.0000000;73459.0000000;73476.0000000;7716
SPFB.Si-3.21;1;16/02/21;10:22:00;73476.0000000;73510.0000000;73466.0000000;73492.0000000;8372
SPFB.Si-3.21;1;16/02/21;10:23:00;73492.0000000;73520.0000000;73477.0000000;73481.0000000;12248
SPFB.Si-3.21;1;16/02/21;10:24:00;73481.0000000;73524.0000000;73477.0000000;73512.0000000;11217
SPFB.Si-3.21;1;16/02/21;10:25:00;73515.0000000;73544.0000000;73491.0000000;73504.0000000;19175
SPFB.Si-3.21;1;16/02/21;10:26:00;73504.0000000;73530.0000000;73502.0000000;73516.0000000;6843
SPFB.Si-3.21;1;16/02/21;10:27:00;73514.0000000;73523.0000000;73502.0000000;73523.0000000;5422
SPFB.Si-3.21;1;16/02/21;10:28:00;73523.0000000;73542.0000000;73505.0000000;73525.0000000;9156
SPFB.Si-3.21;1;16/02/21;10:29:00;73522.0000000;73536.0000000;73480.0000000;73486.0000000;12888
SPFB.Si-3.21;1;16/02/21;10:30:00;73486.0000000;73487.0000000;73457.0000000;73477.0000000;12587
SPFB.Si-3.21;1;16/02/21;10:31:00;73474.0000000;73501.0000000;73474.0000000;73486.0000000;4233
SPFB.Si-3.21;1;16/02/21;10:32:00;73486.0000000;73525.0000000;73481.0000000;73520.0000000;6304
SPFB.Si-3.21;1;16/02/21;10:33:00;73520.0000000;73522.0000000;73512.0000000;73512.0000000;1794
SPFB.Si-3.21;1;16/02/21;10:34:00;73515.0000000;73519.0000000;73507.0000000;73509.0000000;2419
SPFB.Si-3.21;1;16/02/21;10:35:00;73510.0000000;73521.0000000;73507.0000000;73518.0000000;1972
SPFB.Si-3.21;1;16/02/21;10:36:00;73515.0000000;73521.0000000;73500.0000000;73506.0000000;2408
SPFB.Si-3.21;1;16/02/21;10:37:00;73506.0000000;73514.0000000;73482.0000000;73486.0000000;6535
SPFB.Si-3.21;1;16/02/21;10:38:00;73487.0000000;73521.0000000;73481.0000000;73509.0000000;4618
SPFB.Si-3.21;1;16/02/21;10:39:00;73508.0000000;73543.0000000;73508.0000000;73540.0000000;8203
SPFB.Si-3.21;1;16/02/21;10:40:00;73540.0000000;73547.0000000;73532.0000000;73540.0000000;8214
SPFB.Si-3.21;1;16/02/21;10:41:00;73540.0000000;73578.0000000;73537.0000000;73564.0000000;22036
SPFB.Si-3.21;1;16/02/21;10:42:00;73566.0000000;73587.0000000;73558.0000000;73569.0000000;9078
SPFB.Si-3.21;1;16/02/21;10:43:00;73568.0000000;73593.0000000;73567.0000000;73585.0000000;7177
SPFB.Si-3.21;1;16/02/21;10:44:00;73586.0000000;73644.0000000;73581.0000000;73638.0000000;25463
SPFB.Si-3.21;1;16/02/21;10:45:00;73638.0000000;73683.0000000;73604.0000000;73608.0000000;37826
SPFB.Si-3.21;1;16/02/21;10:46:00;73609.0000000;73616.0000000;73583.0000000;73595.0000000;17297
SPFB.Si-3.21;1;16/02/21;10:47:00;73592.0000000;73637.0000000;73592.0000000;73623.0000000;8947
SPFB.Si-3.21;1;16/02/21;10:48:00;73623.0000000;73659.0000000;73602.0000000;73606.0000000;9359
SPFB.Si-3.21;1;16/02/21;10:49:00;73605.0000000;73612.0000000;73591.0000000;73598.0000000;6741
SPFB.Si-3.21;1;16/02/21;10:50:00;73598.0000000;73617.0000000;73578.0000000;73590.0000000;11051
SPFB.Si-3.21;1;16/02/21;10:51:00;73591.0000000;73600.0000000;73577.0000000;73580.0000000;4945
SPFB.Si-3.21;1;16/02/21;10:52:00;73580.0000000;73607.0000000;73571.0000000;73596.0000000;4918
SPFB.Si-3.21;1;16/02/21;10:53:00;73596.0000000;73597.0000000;73583.0000000;73583.0000000;1397
SPFB.Si-3.21;1;16/02/21;10:54:00;73586.0000000;73603.0000000;73581.0000000;73598.0000000;3547
SPFB.Si-3.21;1;16/02/21;10:55:00;73600.0000000;73602.0000000;73596.0000000;73599.0000000;4218
SPFB.Si-3.21;1;16/02/21;10:56:00;73597.0000000;73617.0000000;73596.0000000;73614.0000000;3628
SPFB.Si-3.21;1;16/02/21;10:57:00;73614.0000000;73617.0000000;73579.0000000;73599.0000000;3731
SPFB.Si-3.21;1;16/02/21;10:58:00;73598.0000000;73612.0000000;73589.0000000;73610.0000000;1457
SPFB.Si-3.21;1;16/02/21;10:59:00;73610.0000000;73627.0000000;73594.0000000;73626.0000000;4768
SPFB.Si-3.21;1;16/02/21;11:00:00;73626.0000000;73632.0000000;73589.0000000;73599.0000000;10452
SPFB.Si-3.21;1;16/02/21;11:01:00;73598.0000000;73603.0000000;73565.0000000;73568.0000000;10194
