<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-3.21;1;18/02/21;10:00:00;73960.0000000;74030.0000000;73921.0000000;74004.0000000;20508
SPFB.Si-3.21;1;18/02/21;10:01:00;74004.0000000;74013.0000000;73986.0000000;73986.0000000;12765
SPFB.Si-3.21;1;18/02/21;10:02:00;73988.0000000;73989.0000000;73851.0000000;73873.0000000;36875
SPFB.Si-3.21;1;18/02/21;10:03:00;73870.0000000;73907.0000000;73828.0000000;73845.0000000;78644
SPFB.Si-3.21;1;18/02/21;10:04:00;73845.0000000;73894.0000000;73839.0000000;73885.0000000;15929
SPFB.Si-3.21;1;18/02/21;10:05:00;73885.0000000;73921.0000000;73869.0000000;73911.0000000;13771
SPFB.Si-3.21;1;18/02/21;10:06:00;73909.0000000;73961.0000000;73906.0000000;73955.0000000;12938
SPFB.Si-3.21;1;18/02/21;10:07:00;73954.0000000;73954.0000000;73912.0000000;73916.0000000;10520
SPFB.Si-3.21;1;18/02/21;10:08:00;73914.0000000;73916.0000000;73889.0000000;73900.0000000;10848
SPFB.Si-3.21;1;18/02/21;10:09:00;73903.0000000;73936.0000000;73893.0000000;73913.0000000;17364
SPFB.Si-3.21;1;18/02/21;10:10:00;73912.0000000;73957.0000000;73909.0000000;73955.0000000;8599
SPFB.Si-3.21;1;18/02/21;10:11:00;73956.0000000;73998.0000000;73953.0000000;73998.0000000;8168
SPFB.Si-3.21;1;18/02/21;10:12:00;73998.0000000;74009.0000000;73981.0000000;73989.0000000;11508
SPFB.Si-3.21;1;18/02/21;10:13:00;73990.0000000;74000.0000000;73972.0000000;73991.0000000;3696
SPFB.Si-3.21;1;18/02/21;10:14:00;73991.0000000;74045.0000000;73988.0000000;74040.0000000;13856
SPFB.Si-3.21;1;18/02/21;10:15:00;74039.0000000;74098.0000000;74035.0000000;74064.0000000;14691
SPFB.Si-3.21;1;18/02/21;10:16:00;74063.0000000;74073.0000000;74018.0000000;74038.0000000;9211
SPFB.Si-3.21;1;18/02/21;10:17:00;74043.0000000;74054.0000000;73997.0000000;74017.0000000;7112
SPFB.Si-3.21;1;18/02/21;10:18:00;74016.0000000;74028.0000000;73981.0000000;73991.0000000;5095
SPFB.Si-3.21;1;18/02/21;10:19:00;73990.0000000;74027.0000000;73986.0000000;73995.0000000;7126
SPFB.Si-3.21;1;18/02/21;10:20:00;73996.0000000;74035.0000000;73991.0000000;74031.0000000;4639
SPFB.Si-3.21;1;18/02/21;10:21:00;74031.0000000;74045.0000000;74017.0000000;74035.0000000;2888
SPFB.Si-3.21;1;18/02/21;10:22:00;74034.0000000;74060.0000000;74021.0000000;74060.0000000;8423
SPFB.Si-3.21;1;18/02/21;10:23:00;74060.0000000;74062.0000000;74022.0000000;74031.0000000;5598
SPFB.Si-3.21;1;18/02/21;10:24:00;74035.0000000;74042.0000000;74008.0000000;74027.0000000;7418
SPFB.Si-3.21;1;18/02/21;10:25:00;74027.0000000;74031.0000000;74000.0000000;74020.0000000;3807
SPFB.Si-3.21;1;18/02/21;10:26:00;74022.0000000;74026.0000000;73981.0000000;73987.0000000;6956
SPFB.Si-3.21;1;18/02/21;10:27:00;73987.0000000;73999.0000000;73978.0000000;73992.0000000;3904
SPFB.Si-3.21;1;18/02/21;10:28:00;73995.0000000;74018.0000000;73977.0000000;73980.0000000;4039
SPFB.Si-3.21;1;18/02/21;10:29:00;73980.0000000;73980.0000000;73954.0000000;73969.0000000;8806
SPFB.Si-3.21;1;18/02/21;10:30:00;73971.0000000;73973.0000000;73941.0000000;73964.0000000;6178
SPFB.Si-3.21;1;18/02/21;10:31:00;73966.0000000;74033.0000000;73961.0000000;74028.0000000;8303
SPFB.Si-3.21;1;18/02/21;10:32:00;74028.0000000;74043.0000000;74006.0000000;74009.0000000;6339
SPFB.Si-3.21;1;18/02/21;10:33:00;74012.0000000;74022.0000000;74001.0000000;74018.0000000;3854
SPFB.Si-3.21;1;18/02/21;10:34:00;74019.0000000;74045.0000000;74012.0000000;74044.0000000;4303
SPFB.Si-3.21;1;18/02/21;10:35:00;74041.0000000;74082.0000000;74030.0000000;74076.0000000;8543
SPFB.Si-3.21;1;18/02/21;10:36:00;74076.0000000;74076.0000000;74024.0000000;74038.0000000;7421
